LSOA11 Code,Public transport accessibility metric
E01000001,0
E01000002,1
E01000003,0
E01000005,0
E01000006,0
E01000007,0
E01000008,1
E01000009,0
E01000010,0
E01000011,7
E01000012,0
E01000013,0
E01000014,1
E01000015,1
E01000016,0
E01000017,0
E01000018,0
E01000019,0
E01000020,0
E01000021,0
E01000022,1
E01000023,0
E01000024,1
E01000025,2
E01000027,0
E01000028,1
E01000029,1
E01000030,1
E01000031,0
E01000032,0
E01000033,3
E01000034,2
E01000035,1
E01000036,1
E01000037,2
E01000038,1
E01000039,3
E01000040,0
E01000041,1
E01000042,0
E01000043,0
E01000044,0
E01000045,1
E01000046,1
E01000048,0
E01000049,0
E01000050,0
E01000051,0
E01000052,0
E01000053,2
E01000054,1
E01000055,1
E01000056,2
E01000057,0
E01000058,2
E01000059,1
E01000060,0
E01000061,0
E01000062,0
E01000063,0
E01000064,1
E01000065,0
E01000066,1
E01000067,0
E01000068,0
E01000069,0
E01000070,0
E01000071,0
E01000072,3
E01000073,4
E01000074,3
E01000075,1
E01000076,3
E01000077,0
E01000078,0
E01000079,1
E01000080,0
E01000081,1
E01000082,0
E01000083,0
E01000084,1
E01000085,1
E01000086,1
E01000087,1
E01000088,2
E01000089,2
E01000090,1
E01000091,1
E01000092,1
E01000093,1
E01000094,2
E01000095,3
E01000096,2
E01000097,0
E01000098,0
E01000099,0
E01000100,0
E01000101,0
E01000102,0
E01000103,1
E01000104,1
E01000105,1
E01000106,1
E01000107,4
E01000108,2
E01000109,0
E01000110,0
E01000111,0
E01000112,0
E01000113,0
E01000114,1
E01000115,3
E01000116,3
E01000117,1
E01000118,0
E01000119,1
E01000120,1
E01000121,3
E01000122,0
E01000123,1
E01000124,0
E01000125,1
E01000126,1
E01000127,0
E01000128,0
E01000129,0
E01000130,2
E01000131,1
E01000132,2
E01000133,2
E01000134,2
E01000135,0
E01000136,1
E01000137,0
E01000138,0
E01000139,0
E01000140,0
E01000141,0
E01000142,0
E01000143,0
E01000144,0
E01000145,0
E01000146,0
E01000147,1
E01000148,0
E01000150,4
E01000151,2
E01000152,2
E01000153,2
E01000154,0
E01000155,0
E01000156,0
E01000157,0
E01000158,0
E01000159,1
E01000160,0
E01000161,0
E01000162,0
E01000163,0
E01000164,0
E01000165,1
E01000166,1
E01000167,0
E01000168,1
E01000169,0
E01000170,0
E01000171,1
E01000172,2
E01000173,0
E01000174,0
E01000175,0
E01000176,1
E01000177,0
E01000178,0
E01000179,2
E01000180,0
E01000181,0
E01000182,0
E01000183,1
E01000184,1
E01000185,0
E01000186,1
E01000187,2
E01000188,1
E01000189,2
E01000190,2
E01000191,1
E01000192,0
E01000193,2
E01000194,1
E01000195,3
E01000196,0
E01000197,0
E01000198,2
E01000199,2
E01000200,0
E01000201,1
E01000202,1
E01000203,0
E01000204,0
E01000205,0
E01000206,2
E01000207,1
E01000208,1
E01000209,0
E01000210,0
E01000211,0
E01000212,1
E01000213,3
E01000214,1
E01000215,0
E01000216,1
E01000217,0
E01000218,0
E01000219,0
E01000220,0
E01000221,1
E01000222,0
E01000223,0
E01000224,0
E01000225,1
E01000226,2
E01000227,2
E01000228,2
E01000229,4
E01000230,2
E01000231,2
E01000232,2
E01000233,1
E01000234,1
E01000235,2
E01000236,0
E01000237,0
E01000238,1
E01000239,2
E01000240,3
E01000241,2
E01000242,2
E01000243,0
E01000244,0
E01000245,0
E01000246,2
E01000247,0
E01000248,0
E01000249,1
E01000250,1
E01000251,0
E01000252,0
E01000253,2
E01000254,1
E01000255,2
E01000256,1
E01000257,0
E01000258,1
E01000259,2
E01000260,4
E01000261,3
E01000262,2
E01000263,2
E01000264,1
E01000265,1
E01000266,1
E01000267,1
E01000268,0
E01000269,1
E01000270,1
E01000271,0
E01000272,0
E01000273,0
E01000274,0
E01000275,3
E01000276,4
E01000277,0
E01000278,3
E01000279,3
E01000280,2
E01000281,1
E01000282,1
E01000283,2
E01000284,1
E01000285,1
E01000286,1
E01000287,1
E01000288,1
E01000289,2
E01000290,3
E01000291,1
E01000292,1
E01000293,1
E01000294,1
E01000295,0
E01000296,1
E01000297,1
E01000298,0
E01000299,0
E01000300,0
E01000301,1
E01000302,0
E01000303,3
E01000304,2
E01000305,3
E01000306,0
E01000307,1
E01000308,1
E01000309,0
E01000310,0
E01000311,0
E01000312,5
E01000313,1
E01000314,0
E01000315,0
E01000316,1
E01000317,0
E01000318,0
E01000319,1
E01000320,2
E01000321,1
E01000322,1
E01000323,0
E01000324,0
E01000325,2
E01000326,2
E01000327,2
E01000328,1
E01000329,0
E01000330,0
E01000331,1
E01000332,1
E01000333,1
E01000334,1
E01000335,2
E01000336,1
E01000337,1
E01000338,1
E01000339,2
E01000340,2
E01000341,1
E01000342,2
E01000343,1
E01000344,2
E01000345,1
E01000346,2
E01000347,1
E01000348,2
E01000349,0
E01000350,1
E01000351,3
E01000352,2
E01000353,1
E01000354,1
E01000355,1
E01000356,1
E01000357,1
E01000358,1
E01000359,3
E01000360,2
E01000361,2
E01000362,1
E01000363,1
E01000364,1
E01000365,0
E01000366,1
E01000367,1
E01000368,3
E01000369,1
E01000370,1
E01000371,4
E01000372,2
E01000373,2
E01000374,3
E01000375,1
E01000376,1
E01000377,1
E01000378,2
E01000379,1
E01000380,4
E01000381,1
E01000382,2
E01000383,4
E01000384,1
E01000385,4
E01000386,0
E01000387,3
E01000388,1
E01000389,1
E01000390,3
E01000391,2
E01000392,0
E01000393,1
E01000394,1
E01000395,1
E01000396,1
E01000398,2
E01000399,1
E01000400,0
E01000401,1
E01000402,2
E01000403,1
E01000404,1
E01000405,2
E01000406,1
