index,name
0,Emirates 2022-02-19 EPL
1,Emirates 2022-02-24 EPL
2,Emirates 2022-03-13 EPL
3,Emirates 2022-03-16 EPL
4,Wembley 2021-07-11 Euro Final
5,Old Trafford 2022-02-12 EPL
6,Old Trafford 2022-02-15 EPL
7,Old Trafford 2022-02-26 EPL
8,Old Trafford 2022-03-12 EPL
9,Twickenham 2021-11-06 Rugby Intl.
10,Twickenham 2021-11-13 Rugby Intl.
11,Twickenham 2021-11-20 Rugby Intl.
12,Wimbledon 2021-07-05 Round of 16
13,Wimbledon 2021-07-06 Women's quarter
14,Wimbledon 2021-07-07 Men's quarter
15,Wimbledon 2021-07-09 Men's semi
16,The Open Golf  2021-07-17 Round 3
17,The Open Golf  2021-07-18 Final
