source,target,pvalue
0,4,2.08E-54
0,5,2.11E-15
0,6,3.29E-81
0,7,4.74E-51
0,8,3.62E-12
0,9,1.14E-08
0,10,4.37E-11
0,11,1.88E-12
0,12,0.001786626
0,13,6.44E-14
0,14,1.37E-05
0,15,4.09E-64
0,16,1.32E-85
0,17,3.33E-16
0,18,3.12E-68
0,19,2.49E-86
0,20,4.44E-16
0,21,8.40E-36
0,22,1.11E-16
1,4,3.50E-56
1,5,2.22E-16
1,6,5.26E-84
1,7,1.33E-15
1,8,6.04E-14
1,9,4.08E-10
1,10,2.66E-12
1,11,2.89E-14
1,12,0.00036827
1,13,4.73E-16
1,14,8.44E-08
1,15,4.44E-16
1,16,4.23E-90
1,17,1.11E-16
1,18,1.11E-15
1,19,0
1,20,1.15E-158
1,21,3.80E-40
1,22,9.87E-100
2,4,2.22E-16
2,5,5.23E-55
2,6,1.25E-71
2,7,4.11E-43
2,8,9.37E-10
2,9,2.22E-07
2,10,1.11E-08
2,11,4.93E-10
2,12,0.062688902
2,13,3.85E-11
2,14,4.62E-07
2,15,8.86E-72
2,16,2.43E-91
2,17,1.15E-84
2,18,1.06E-72
2,19,1.53E-87
2,20,2.80E-161
2,21,1.11E-16
2,22,3.81E-101
3,4,1.33E-15
3,5,1.44E-15
3,6,1.11E-16
3,7,1.01E-38
3,8,1.78E-10
3,9,2.55E-07
3,10,3.00E-08
3,11,9.34E-11
3,12,0.068026045
3,13,6.80E-12
3,14,1.21E-06
3,15,1.09E-65
3,16,2.51E-85
3,17,1.85E-80
3,18,2.34E-68
3,19,1.11E-15
3,20,2.87E-148
3,21,7.23E-37
3,22,0
4,0,2.08E-54
4,1,3.50E-56
4,2,2.22E-16
4,3,1.33E-15
4,8,1.44E-15
4,9,2.39E-21
4,10,5.55E-16
4,11,8.88E-16
4,12,1.47E-38
4,13,1.67E-15
4,14,2.22E-15
4,15,0
4,16,4.44E-16
4,17,2.22E-16
4,18,6.66E-16
4,19,1.46E-91
4,20,1.69E-162
4,21,9.99E-16
4,22,5.74E-115
5,0,2.11E-15
5,1,2.22E-16
5,2,5.23E-55
5,3,1.44E-15
5,8,2.41E-22
5,9,2.61E-24
5,10,5.29E-22
5,11,4.19E-22
5,12,4.44E-16
5,13,4.10E-24
5,14,0
5,15,2.22E-16
5,16,1.11E-15
5,17,1.33E-15
5,18,5.55E-16
5,19,1.11E-15
5,20,0
5,21,8.84E-52
5,22,1.38E-127
6,0,3.29E-81
6,1,5.26E-84
6,2,1.25E-71
6,3,1.11E-16
6,8,2.89E-15
6,9,5.59E-38
6,10,2.00E-15
6,11,6.66E-16
6,12,0
6,13,1.33E-15
6,14,2.55E-15
6,15,1.44E-15
6,16,0
6,17,2.74E-97
6,18,8.43E-84
6,19,6.66E-16
6,20,9.99E-16
6,21,1.33E-15
6,22,1.22E-15
7,0,4.74E-51
7,1,1.33E-15
7,2,4.11E-43
7,3,1.01E-38
7,8,1.32E-13
7,9,1.72E-14
7,10,1.61E-12
7,11,2.00E-13
7,12,3.10E-34
7,13,4.21E-14
7,14,1.44E-15
7,15,1.11E-16
7,16,6.66E-16
7,17,1.89E-15
7,18,1.67E-15
7,19,6.54E-99
7,20,3.33E-16
7,21,6.55E-49
7,22,8.88E-16
8,0,3.62E-12
8,1,6.04E-14
8,2,9.37E-10
8,3,1.78E-10
8,4,1.44E-15
8,5,2.41E-22
8,6,2.89E-15
8,7,1.32E-13
8,12,9.79E-06
8,13,0.766446596
8,14,0.013742362
8,15,4.44E-16
8,16,3.15E-95
8,17,1.50E-83
8,18,0
8,19,1.11E-15
8,20,3.33E-16
8,21,2.38E-43
8,22,2.22E-16
9,0,1.14E-08
9,1,4.08E-10
9,2,2.22E-07
9,3,2.55E-07
9,4,2.39E-21
9,5,2.61E-24
9,6,5.59E-38
9,7,1.72E-14
9,12,0.000166912
9,13,0.723887157
9,14,0.307183435
9,15,2.08E-72
9,16,2.55E-92
9,17,1.10E-82
9,18,1.67E-15
9,19,2.22E-16
9,20,6.85E-168
9,21,1.46E-41
9,22,5.31E-102
10,0,4.37E-11
10,1,2.66E-12
10,2,1.11E-08
10,3,3.00E-08
10,4,5.55E-16
10,5,5.29E-22
10,6,2.00E-15
10,7,1.61E-12
10,12,1.58E-05
10,13,0.640348806
10,14,0.039029844
10,15,4.44E-16
10,16,1.06E-88
10,17,2.91E-83
10,18,3.06E-71
10,19,8.88E-16
10,20,2.09E-158
10,21,7.07E-40
10,22,1.14E-98
11,0,1.88E-12
11,1,2.89E-14
11,2,4.93E-10
11,3,9.34E-11
11,4,8.88E-16
11,5,4.19E-22
11,6,6.66E-16
11,7,2.00E-13
11,12,5.28E-06
11,13,0.975287457
11,14,0.008727646
11,15,1.86E-72
11,16,3.33E-16
11,17,2.22E-16
11,18,0
11,19,0
