source,target,pvalue
0,12,1786.626
1,12,368.27
2,12,62688.902
8,13,766446.596
8,14,13742.362
9,12,166.912
9,13,723887.157
9,14,307183.435
10,13,640348.806
10,14,39029.844
11,13,975287.457
11,14,8727.646
12,0,1786.626
12,1,368.27
12,2,62688.902
12,3,68026.045
12,9,166.912
13,8,766446.596
13,9,723887.157
13,10,640348.806
13,11,975287.457
14,8,13742.362
14,9,307183.435
14,10,39029.844
14,11,8727.646
15,21,510.724
16,22,27754.413
17,22,4278.276
18,22,1322.07
21,15,510.724
22,16,27754.413
22,17,4278.276
22,18,1322.07
